City name;City population
Delhi;26495000
Beijing;21893095
Dhaka;16800000
Kinshasa;14565700
Tokyo;14264798
Moscow;13274285
Sao Paulo;11904961
Jakarta;11135191
Cairo;9801536
Seoul;9668465
Mexico City;9209944
New York City;8804190
Hanoi;8717600
Bogota;8034649
Rio de Janeiro;6730729
Santiago;6257516
Ankara;5803482
Bangkok;5676648
Sydney;5450496
Melbourne;5350705
Los Angeles;3898747
Cape Town;3776313
Berlin;3685265
Madrid;3506730
Algiers;3415811
Buenos Aires;3121707
Brasilia;2996899
Kyiv;2952301
Toronto;2794356
Rome;2748109
Chicago;2746388
Brisbane;2706966
Medellin;2529403
Nagoya;2326844
Baku;2300500
Paris;2113705
Vienna;2028289
Minsk;1996730
Montreal;1895211
Warsaw;1862402
Barcelona;1731649
Bucharest;1716961
Abuja;1693400
Budapest;1685209
Munich;1510378
Auckland;1470100
Prague;1397880
Calgary;1306784
Sofia;1205548
Chiang Mai;1198000
Belgrade;1197714
Fes;1167842
Yerevan;1106300
Ottawa;1017449
San Jose;1013240
Edmonton;1010899
Marrakech;1002697
Stockholm;984748
Austin;961855
Amsterdam;917923
San Francisco;808988
Zagreb;767131
Winnipeg;749607
Pretoria;741651
Seattle;737015
Oslo;717710
Washington DC;689545
Helsinki;686595
Boston;675647
Denpasar;670210
Copenhagen;667099
Vancouver;662248
Athens;643452
Las Vegas;641903
Glasgow;635640
Gothenburg;613278
Durban;595061
Riga;595053
Dublin;592713
Vilnius;581475
Quebec City;574482
Lisbon;545796
Calabar;540000
Rabat;509916
Bratislava;479389
Canberra;473855
Tallinn;457572
Miami;449514
Halifax;440072
Cusco;428450
Skopje;422540
Tirana;389323
Blumenau;385558
Honolulu;350964
Orlando;334854
MalmÃ¶;326860
Bergen;291189
Aarhus;290598
Ljubljana;284293
Sarajevo;275524
Lima;268352
Saskatoon;266141
Tampere;255333
Venice;250369
Trondheim;216518
Wellington;216200
Oulu;214814
Turku;206420
Brussels;195546
Odense;185480
Uppsala;174982
Podgorica;150977
JyvÃ¤skylÃ¤;147856
Kelowna;144576
ReykjavÃ­k;138772
Stavanger;129300
Ã–rebro;128658
Kuopio;124131
Aalborg;121878
Kristiansand;119287
LinkÃ¶ping;116851
Helsingborg;116029
St. John's;110525
JÃ¶nkÃ¶ping;103032
Luanda;
Porto-Novo;
Gaborone;
Ouagadougou;
Gitega;
Praia;
Yaounde;
Bangui;
NDjamena;
Moroni;
Djibouti;
Malabo;
Asmara;
Mbabane;
Addis Ababa;
Libreville;
Banjul;
Accra;
Conakry;
Bissau;
Yamoussoukro;
Nairobi;
Maseru;
Monrovia;
Tripoli;
Antananarivo;
Lilongwe;
Bamako;
Nouakchott;
Port Louis;
Maputo;
Windhoek;
Niamey;
Brazzaville;
Kigali;
Sao Tome;
Dakar;
Victoria;
Freetown;
Mogadishu;
Hermanus;
Juba;
Khartoum;
Arusha;
Dodoma;
Lome;
Tunis;
Kampala;
Lusaka;
Harare;
Kabul;
Manama;
Thimphu;
Bandar Seri Begawan;
Phnom Penh;
New Delhi;
Tehran;
Baghdad;
Jerusalem;
Motegi;
Amman;
Astana;
Kuwait City;
Bishkek;
Vientiane;
Beirut;
Kuala Lumpur;
Male;
Ulaanbaatar;
Naypyidaw;
Kathmandu;
Pyongyang;
Muscat;
Islamabad;
Ramallah;
Manila;
Doha;
Lusail;
Mecca;
Riyadh;
Singapore;
Sri Jayawardenepura Kotte;
Damascus;
Taipei;
Dushanbe;
Dili;
Ashgabat;
Abu Dhabi;
Tashkent;
Sanaa;
Andorra la Vella;
Nicosia;
Billund;
HelsingÃ¸r;
Roskilde;
Skagen;
London;
Silverstone;
Southport;
KlaksvÃ­k;
TÃ³rshavn;
Rovaniemi;
Vaasa;
Cannes;
Tbilisi;
Akureyri;
HÃºsavÃ­k;
ÃsafjÃ¶rÃ°ur;
Selfoss;
Pristina;
Vaduz;
Luxembourg;
Valletta;
Chisinau;
Monaco;
Ã…lesund;
Alta;
BodÃ¸;
FlÃ¥m;
Geiranger;
Longyearbyen;
Narvik;
SvolvÃ¦r;
TromsÃ¸;
San Marino;
Abisko;
Kiruna;
Visby;
Bern;
Vatican City;
Saint Johns;
Nassau;
Bridgetown;
Belmopan;
Banff;
Canmore;
Charlottetown;
Churchill;
Jasper;
Lake Louise;
Mont-Tremblant;
Niagara Falls;
Prince Edward County;
Tofino;
Victoria;
Whistler;
Whitehorse;
Havana;
Roseau;
Santo Domingo;
San Salvador;
Ilulissat;
Nuuk;
Saint Georges;
Guatemala City;
Port-au-Prince;
Tegucigalpa;
Kingston;
Managua;
Panama City;
Basseterre;
Castries;
Kingstown;
Port of Spain;
Aspen;
Augusta;
Black Rock City;
Charleston;
East Hampton;
Jackson;
Key West;
Montauk;
Nashville;
New Orleans;
Newport;
Newtown Square;
Portland, Maine;
Santa Fe;
Savannah;
Sedona;
Southampton;
Suva;
South Tarawa;
Majuro;
Palikir;
Yaren;
Queenstown;
Ngerulmud;
Port Moresby;
Apia;
Honiara;
Nukualofa;
Funafuti;
Port Vila;
Sucre;
Quito;
Georgetown;
Asuncion;
Paramaribo;
Montevideo;
Caracas;
